partition_point,tail_model_name,activation_shape,num_values,transfer_kb_fp32,transfer_kb_fp16
features.0,mobilenet_v2_tail_after_features_0,1x32x112x112,401408,1568.0,784.0
features.1,mobilenet_v2_tail_after_features_1,1x16x112x112,200704,784.0,392.0
features.2,mobilenet_v2_tail_after_features_2,1x24x56x56,75264,294.0,147.0
features.3,mobilenet_v2_tail_after_features_3,1x24x56x56,75264,294.0,147.0
features.4,mobilenet_v2_tail_after_features_4,1x32x28x28,25088,98.0,49.0
features.5,mobilenet_v2_tail_after_features_5,1x32x28x28,25088,98.0,49.0
features.6,mobilenet_v2_tail_after_features_6,1x32x28x28,25088,98.0,49.0
features.7,mobilenet_v2_tail_after_features_7,1x64x14x14,12544,49.0,24.5
features.8,mobilenet_v2_tail_after_features_8,1x64x14x14,12544,49.0,24.5
features.9,mobilenet_v2_tail_after_features_9,1x64x14x14,12544,49.0,24.5
features.10,mobilenet_v2_tail_after_features_10,1x64x14x14,12544,49.0,24.5
features.11,mobilenet_v2_tail_after_features_11,1x96x14x14,18816,73.5,36.75
features.12,mobilenet_v2_tail_after_features_12,1x96x14x14,18816,73.5,36.75
features.13,mobilenet_v2_tail_after_features_13,1x96x14x14,18816,73.5,36.75
features.14,mobilenet_v2_tail_after_features_14,1x160x7x7,7840,30.62,15.31
features.15,mobilenet_v2_tail_after_features_15,1x160x7x7,7840,30.62,15.31
features.16,mobilenet_v2_tail_after_features_16,1x160x7x7,7840,30.62,15.31
features.17,mobilenet_v2_tail_after_features_17,1x320x7x7,15680,61.25,30.62
features.18,mobilenet_v2_tail_after_features_18,1x1280x7x7,62720,245.0,122.5
adaptive_avg_pool,mobilenet_v2_tail_after_adaptive_avg_pool,1x1280x1x1,1280,5.0,2.5
flatten,mobilenet_v2_tail_after_flatten,1x1280,1280,5.0,2.5
classifier.0,mobilenet_v2_tail_after_classifier_0,1x1280,1280,5.0,2.5
