partition_point,tail_model_name,activation_shape,num_values,transfer_kb_fp32,transfer_kb_fp16
features.0,mobilenet_v3_large_tail_after_features_0,1x16x112x112,200704,784.0,392.0
features.1,mobilenet_v3_large_tail_after_features_1,1x16x112x112,200704,784.0,392.0
features.2,mobilenet_v3_large_tail_after_features_2,1x24x56x56,75264,294.0,147.0
features.3,mobilenet_v3_large_tail_after_features_3,1x24x56x56,75264,294.0,147.0
features.4,mobilenet_v3_large_tail_after_features_4,1x40x28x28,31360,122.5,61.25
features.5,mobilenet_v3_large_tail_after_features_5,1x40x28x28,31360,122.5,61.25
features.6,mobilenet_v3_large_tail_after_features_6,1x40x28x28,31360,122.5,61.25
features.7,mobilenet_v3_large_tail_after_features_7,1x80x14x14,15680,61.25,30.62
features.8,mobilenet_v3_large_tail_after_features_8,1x80x14x14,15680,61.25,30.62
features.9,mobilenet_v3_large_tail_after_features_9,1x80x14x14,15680,61.25,30.62
features.10,mobilenet_v3_large_tail_after_features_10,1x80x14x14,15680,61.25,30.62
features.11,mobilenet_v3_large_tail_after_features_11,1x112x14x14,21952,85.75,42.88
features.12,mobilenet_v3_large_tail_after_features_12,1x112x14x14,21952,85.75,42.88
features.13,mobilenet_v3_large_tail_after_features_13,1x160x7x7,7840,30.62,15.31
features.14,mobilenet_v3_large_tail_after_features_14,1x160x7x7,7840,30.62,15.31
features.15,mobilenet_v3_large_tail_after_features_15,1x160x7x7,7840,30.62,15.31
features.16,mobilenet_v3_large_tail_after_features_16,1x960x7x7,47040,183.75,91.88
avgpool,mobilenet_v3_large_tail_after_avgpool,1x960x1x1,960,3.75,1.88
flatten,mobilenet_v3_large_tail_after_flatten,1x960,960,3.75,1.88
classifier.0,mobilenet_v3_large_tail_after_classifier_0,1x1280,1280,5.0,2.5
classifier.1,mobilenet_v3_large_tail_after_classifier_1,1x1280,1280,5.0,2.5
classifier.2,mobilenet_v3_large_tail_after_classifier_2,1x1280,1280,5.0,2.5
