partition_point,tail_model_name,activation_shape,num_values,transfer_kb_fp32,transfer_kb_fp16
stem,resnet50_tail_after_stem,1x64x56x56,200704,784.0,392.0
layer1.0,resnet50_tail_after_layer1_0,1x256x56x56,802816,3136.0,1568.0
layer1.1,resnet50_tail_after_layer1_1,1x256x56x56,802816,3136.0,1568.0
layer1.2,resnet50_tail_after_layer1_2,1x256x56x56,802816,3136.0,1568.0
layer2.0,resnet50_tail_after_layer2_0,1x512x28x28,401408,1568.0,784.0
layer2.1,resnet50_tail_after_layer2_1,1x512x28x28,401408,1568.0,784.0
layer2.2,resnet50_tail_after_layer2_2,1x512x28x28,401408,1568.0,784.0
layer2.3,resnet50_tail_after_layer2_3,1x512x28x28,401408,1568.0,784.0
layer3.0,resnet50_tail_after_layer3_0,1x1024x14x14,200704,784.0,392.0
layer3.1,resnet50_tail_after_layer3_1,1x1024x14x14,200704,784.0,392.0
layer3.2,resnet50_tail_after_layer3_2,1x1024x14x14,200704,784.0,392.0
layer3.3,resnet50_tail_after_layer3_3,1x1024x14x14,200704,784.0,392.0
layer3.4,resnet50_tail_after_layer3_4,1x1024x14x14,200704,784.0,392.0
layer3.5,resnet50_tail_after_layer3_5,1x1024x14x14,200704,784.0,392.0
layer4.0,resnet50_tail_after_layer4_0,1x2048x7x7,100352,392.0,196.0
layer4.1,resnet50_tail_after_layer4_1,1x2048x7x7,100352,392.0,196.0
layer4.2,resnet50_tail_after_layer4_2,1x2048x7x7,100352,392.0,196.0
