experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_001,1,full_server,,resnet18_full,0.0,25.0,1776170632.69723,1776170632.633051,,,1776170662.9175057,1776170637.9175057,1776170662.9175057,completed
exp_001,2,full_server,,resnet18_full,90.0,25.0,1776170662.9229782,1776170663.049531,1776170666.147265,1776170666.1207957,1776170694.3108473,1776170669.2452483,1776170694.2452483,completed
exp_001,3,full_server,,resnet18_full,100.0,25.0,1776170704.4388554,1776170704.634328,1776170707.8190231,1776170708.1648037,1776170736.1088593,1776170710.9604886,1776170735.9604886,completed
exp_001,4,full_server,,resnet18_full,120.0,25.0,1776170746.165563,1776170746.2616003,1776170749.3990107,1776170750.2063498,1776170777.5520418,1776170752.4739814,1776170777.4739814,completed
exp_001,5,full_server,,resnet18_full,130.0,25.0,1776170787.6196687,1776170787.7380943,1776170790.813413,1776170791.246038,1776170819.0764303,1776170793.912197,1776170818.912197,completed
exp_001,6,full_server,,resnet18_full,140.0,25.0,1776170829.142592,1776170829.2238796,1776170832.370668,1776170832.2866154,1776170860.4817753,1776170835.4059489,1776170860.4059489,completed
exp_001,7,full_server,,resnet18_full,150.0,25.0,1776170870.6108797,1776170870.6945632,1776170873.767554,1776170874.3266191,1776170901.9303975,1776170876.778323,1776170901.778323,completed
exp_001,8,full_server,,resnet18_full,160.0,25.0,1776170911.9784958,1776170912.1065097,1776170915.338333,1776170915.3667061,1776170943.5601885,1776170918.3887231,1776170943.3887231,completed
exp_001,9,split,stem,resnet18_tail_after_stem,0.0,25.0,1776170953.6867034,1776170954.8906736,,,1776170985.1786485,1776170960.1786485,1776170985.1786485,completed
exp_001,10,split,stem,resnet18_tail_after_stem,90.0,25.0,1776170985.2144084,1776170985.34218,1776170988.3796277,1776170988.4407518,1776171016.5991726,1776170991.4743125,1776171016.4743125,completed
exp_001,11,split,stem,resnet18_tail_after_stem,100.0,25.0,1776171026.6729157,1776171026.8554726,1776171029.944056,1776171030.480793,1776171058.1516452,1776171033.0131419,1776171058.0131419,completed
exp_001,12,split,stem,resnet18_tail_after_stem,120.0,25.0,1776171068.2969744,1776171068.333925,1776171071.5173845,1776171071.5195968,1776171099.7302847,1776171074.5874114,1776171099.5874114,completed
exp_001,13,split,stem,resnet18_tail_after_stem,130.0,25.0,1776171109.7839117,1776171109.8643715,1776171112.9008505,1776171113.5597181,1776171141.112974,1776171115.9455924,1776171140.9455924,completed
exp_001,14,split,stem,resnet18_tail_after_stem,140.0,25.0,1776171151.1416163,1776171151.2416012,1776171154.3719645,1776171154.6026368,1776171182.525223,1776171157.4210718,1776171182.4210718,completed
exp_001,15,split,stem,resnet18_tail_after_stem,150.0,25.0,1776171192.6099095,1776171192.64962,1776171195.7691588,1776171196.6441123,1776171223.9338777,1776171198.7997231,1776171223.7997231,completed
exp_001,16,split,stem,resnet18_tail_after_stem,160.0,25.0,1776171233.9348958,1776171234.0199583,1776171237.1030216,1776171237.6837187,1776171265.2193334,1776171240.117251,1776171265.117251,completed
exp_001,17,split,layer1.0,resnet18_tail_after_layer1_0,0.0,25.0,1776171275.2505956,1776171276.4666173,,,1776171306.752763,1776171281.752763,1776171306.752763,completed
exp_001,18,split,layer1.0,resnet18_tail_after_layer1_0,90.0,25.0,1776171306.7666523,1776171306.903973,1776171309.9337776,1776171310.7538342,1776171338.0382173,1776171312.9940977,1776171337.9940977,completed
exp_001,19,split,layer1.0,resnet18_tail_after_layer1_0,100.0,25.0,1776171348.1811938,1776171348.2163823,1776171351.3970804,1776171351.7938457,1776171379.5649955,1776171354.4364734,1776171379.4364734,completed
exp_001,20,split,layer1.0,resnet18_tail_after_layer1_0,120.0,25.0,1776171389.6409717,1776171389.7830505,1776171392.9626703,1776171393.8357556,1776171421.1220264,1776171396.026448,1776171421.026448,completed
exp_001,21,split,layer1.0,resnet18_tail_after_layer1_0,130.0,25.0,1776171431.1687522,1776171431.30475,1776171434.3458092,1776171434.8738675,1776171462.5165575,1776171437.4000137,1776171462.4000137,completed
exp_001,22,split,layer1.0,resnet18_tail_after_layer1_0,140.0,25.0,1776171472.634956,1776171472.7326531,1776171475.910135,1776171475.9146464,1776171504.144248,1776171479.0331695,1776171504.0331695,completed
exp_001,23,split,layer1.0,resnet18_tail_after_layer1_0,150.0,25.0,1776171514.2731266,1776171514.309563,1776171517.4375057,1776171517.9567897,1776171545.6231942,1776171520.5267947,1776171545.5267947,completed
exp_001,24,split,layer1.0,resnet18_tail_after_layer1_0,160.0,25.0,1776171555.6484885,1776171555.8342068,1776171559.0143783,1776171558.9946434,1776171587.2295957,1776171562.0471117,1776171587.0471117,completed
exp_001,25,split,layer1.1,resnet18_tail_after_layer1_1,0.0,25.0,1776171597.358466,1776171598.6270297,,,1776171628.7278078,1776171603.7278078,1776171628.7278078,completed
exp_001,26,split,layer1.1,resnet18_tail_after_layer1_1,90.0,25.0,1776171628.7933776,1776171628.9544103,1776171632.1917381,1776171633.0647902,1776171660.4343138,1776171635.2528446,1776171660.2528446,completed
exp_001,27,split,layer1.1,resnet18_tail_after_layer1_1,100.0,25.0,1776171670.4681938,1776171670.6041148,1776171673.6358936,1776171674.1039732,1776171701.9702802,1776171676.7791321,1776171701.7791321,completed
exp_001,28,split,layer1.1,resnet18_tail_after_layer1_1,120.0,25.0,1776171712.1015983,1776171712.24335,1776171715.407038,1776171716.144753,1776171743.631953,1776171718.433418,1776171743.433418,completed
exp_001,29,split,layer1.1,resnet18_tail_after_layer1_1,130.0,25.0,1776171753.7144217,1776171753.8449013,1776171756.9744706,1776171757.1858306,1776171785.1824927,1776171760.0056682,1776171785.0056682,completed
exp_001,30,split,layer1.1,resnet18_tail_after_layer1_1,140.0,25.0,1776171795.192095,1776171795.2291074,1776171798.4611568,1776171799.2247388,1776171826.6980104,1776171801.6060743,1776171826.6060743,completed
exp_001,31,split,layer1.1,resnet18_tail_after_layer1_1,150.0,25.0,1776171836.8160708,1776171836.9687097,1776171840.1892798,1776171840.2648041,1776171868.3326597,1776171843.2406716,1776171868.2406716,completed
exp_001,32,split,layer1.1,resnet18_tail_after_layer1_1,160.0,25.0,1776171878.34058,1776171878.4315143,1776171881.613163,1776171882.3067963,1776171909.8632472,1776171884.6441112,1776171909.6441112,completed
exp_001,33,split,layer2.0,resnet18_tail_after_layer2_0,0.0,25.0,1776171919.9536338,1776171921.2420516,,,1776171951.479363,1776171926.479363,1776171951.479363,completed
exp_001,34,split,layer2.0,resnet18_tail_after_layer2_0,90.0,25.0,1776171951.5028932,1776171951.4883645,1776171954.6677449,1776171955.3808827,1776171982.8945513,1776171957.7947495,1776171982.7947495,completed
exp_001,35,split,layer2.0,resnet18_tail_after_layer2_0,100.0,25.0,1776171992.9104903,1776171993.0554383,1776171996.1355228,1776171996.4218416,1776172024.3339827,1776171999.1848762,1776172024.1848762,completed
exp_001,36,split,layer2.0,resnet18_tail_after_layer2_0,120.0,25.0,1776172034.4743652,1776172034.581334,1776172037.8486528,1776172038.4609907,1776172066.0905294,1776172040.9508202,1776172065.9508202,completed
exp_001,37,split,layer2.0,resnet18_tail_after_layer2_0,130.0,25.0,1776172076.1966646,1776172076.3248973,1776172079.4097865,1776172079.5026264,1776172107.6779053,1776172082.545043,1776172107.545043,completed
exp_001,38,split,layer2.0,resnet18_tail_after_layer2_0,140.0,25.0,1776172117.8035383,1776172118.014257,1776172121.0868556,1776172121.542805,1776172149.3348067,1776172124.1779864,1776172149.1779864,completed
exp_001,39,split,layer2.0,resnet18_tail_after_layer2_0,150.0,25.0,1776172159.3658478,1776172159.4607747,1776172162.551385,1776172162.5819538,1776172190.7761714,1776172165.708236,1776172190.708236,completed
exp_001,40,split,layer2.0,resnet18_tail_after_layer2_0,160.0,25.0,1776172200.7982697,1776172200.889022,1776172203.9660416,1776172204.6226075,1776172232.0585809,1776172206.9995375,1776172231.9995375,completed
exp_001,41,split,layer2.1,resnet18_tail_after_layer2_1,0.0,25.0,1776172242.1709614,1776172243.5128422,,,1776172273.7644184,1776172248.7644184,1776172273.7644184,completed
exp_001,42,split,layer2.1,resnet18_tail_after_layer2_1,90.0,25.0,1776172273.818819,1776172273.7535663,1776172276.9854784,1776172277.6927085,1776172305.13769,1776172279.996802,1776172304.996802,completed
exp_001,43,split,layer2.1,resnet18_tail_after_layer2_1,100.0,25.0,1776172315.235375,1776172315.281946,1776172318.3587623,1776172318.7303817,1776172346.5794377,1776172321.4055772,1776172346.4055772,completed
exp_001,44,split,layer2.1,resnet18_tail_after_layer2_1,120.0,25.0,1776172356.609122,1776172356.644872,1776172359.8371153,1776172359.7706378,1776172387.963819,1776172362.850326,1776172387.850326,completed
exp_001,45,split,layer2.1,resnet18_tail_after_layer2_1,130.0,25.0,1776172398.0270123,1776172398.23687,1776172401.3510885,1776172401.8116958,1776172429.6221569,1776172404.4761543,1776172429.4761543,completed
exp_001,46,split,layer2.1,resnet18_tail_after_layer2_1,140.0,25.0,1776172439.64644,1776172439.7809741,1776172442.812487,1776172442.8507009,1776172470.9471693,1776172445.878877,1776172470.878877,completed
exp_001,47,split,layer2.1,resnet18_tail_after_layer2_1,150.0,25.0,1776172481.0165136,1776172481.041816,1776172484.0886784,1776172484.8916755,1776172512.2487373,1776172487.162057,1776172512.162057,completed
exp_001,48,split,layer2.1,resnet18_tail_after_layer2_1,160.0,25.0,1776172522.2761822,1776172522.5171196,1776172525.6679294,1776172525.9288535,1776172553.8000815,1776172528.6990566,1776172553.6990566,completed
exp_001,49,split,layer3.0,resnet18_tail_after_layer3_0,0.0,25.0,1776172563.8460822,1776172565.2311149,,,1776172595.2856464,1776172570.2856464,1776172595.2856464,completed
exp_001,50,split,layer3.0,resnet18_tail_after_layer3_0,90.0,25.0,1776172595.3527253,1776172595.5476618,1776172598.711989,1776172599.0018632,1776172627.010753,1776172601.8479967,1776172626.8479967,completed
exp_001,51,split,layer3.0,resnet18_tail_after_layer3_0,100.0,25.0,1776172637.0208943,1776172637.0562217,1776172640.1734514,1776172641.0437393,1776172668.3737807,1776172643.251779,1776172668.251779,completed
exp_001,52,split,layer3.0,resnet18_tail_after_layer3_0,120.0,25.0,1776172678.3771908,1776172678.6240814,1776172681.7029374,1776172682.0853155,1776172710.8116634,1776172684.768232,1776172709.768232,completed
exp_001,53,split,layer3.0,resnet18_tail_after_layer3_0,130.0,25.0,1776172720.9666069,1776172721.1017323,1776172724.1231222,1776172724.1258438,1776172752.3186057,1776172727.159197,1776172752.159197,completed
exp_001,54,split,layer3.0,resnet18_tail_after_layer3_0,140.0,25.0,1776172762.36475,1776172762.5751164,1776172765.6943111,1776172766.1680353,1776172793.9268763,1776172768.8558526,1776172793.8558526,completed
exp_001,55,split,layer3.0,resnet18_tail_after_layer3_0,150.0,25.0,1776172803.9841907,1776172804.1171358,1776172807.254323,1776172807.2087352,1776172835.3915808,1776172810.3335319,1776172835.3335319,completed
exp_001,56,split,layer3.0,resnet18_tail_after_layer3_0,160.0,25.0,1776172845.491154,1776172845.5762353,1776172848.827613,1776172849.2507675,1776172877.0290184,1776172851.8915489,1776172876.8915489,completed
exp_001,57,split,layer3.1,resnet18_tail_after_layer3_1,0.0,25.0,1776172887.1175833,1776172888.3913505,,,1776172918.4239202,1776172893.4239202,1776172918.4239202,completed
exp_001,58,split,layer3.1,resnet18_tail_after_layer3_1,90.0,25.0,1776172918.448031,1776172918.6639261,1776172921.6844444,1776172922.3224282,1776172949.8596694,1776172924.7960305,1776172949.7960305,completed
exp_001,59,split,layer3.1,resnet18_tail_after_layer3_1,100.0,25.0,1776172959.938223,1776172960.147442,1776172963.3169816,1776172963.3637862,1776172991.5339687,1776172966.4275026,1776172991.4275026,completed
exp_001,60,split,layer3.1,resnet18_tail_after_layer3_1,120.0,25.0,1776173001.651269,1776173001.7420287,1776173004.8715978,1776173005.4064832,1776173033.0266798,1776173007.933636,1776173032.933636,completed
exp_001,61,split,layer3.1,resnet18_tail_after_layer3_1,130.0,25.0,1776173043.0502014,1776173043.2519124,1776173046.3738914,1776173046.44586,1776173074.4961762,1776173049.410951,1776173074.410951,completed
exp_001,62,split,layer3.1,resnet18_tail_after_layer3_1,140.0,25.0,1776173084.6127372,1776173084.5575242,1776173087.6426985,1776173088.4858289,1776173115.9102833,1776173090.7375784,1776173115.7375784,completed
exp_001,63,split,layer3.1,resnet18_tail_after_layer3_1,150.0,25.0,1776173125.9395113,1776173126.0805962,1776173129.266413,1776173129.5266192,1776173157.3672225,1776173132.3194242,1776173157.3194242,completed
exp_001,64,split,layer3.1,resnet18_tail_after_layer3_1,160.0,25.0,1776173167.4564312,1776173167.5629575,1776173170.6974235,1776173171.5687523,1776173198.803947,1776173173.7291596,1776173198.7291596,completed
exp_001,65,split,layer4.0,resnet18_tail_after_layer4_0,0.0,25.0,1776173208.919912,1776173210.2303998,,,1776173240.4093812,1776173215.4093812,1776173240.4093812,completed
