experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_13_16_49,1,full_server,,resnet18_full,0.0,25.0,1776091764.3709667,1776091764.5241992,,,1776091794.6258252,1776091769.6258252,1776091794.6258252,completed
exp_13_16_49,2,full_server,,resnet18_full,100.0,25.0,1776091794.640797,1776091794.656303,1776091797.8602915,1776091797.816678,1776091825.9545531,1776091800.8987832,1776091825.8987832,completed
exp_13_16_49,3,full_server,,resnet18_full,120.0,25.0,1776091825.955056,1776091826.0105715,1776091829.148541,1776091829.8497493,1776091857.3399549,1776091832.238204,1776091857.238204,completed
exp_13_16_49,4,full_server,,resnet18_full,150.0,25.0,1776091857.340645,1776091857.35733,1776091860.4471362,1776091860.8803074,1776091888.6653244,1776091863.471122,1776091888.471122,completed
exp_13_16_49,5,full_server,,resnet18_full,155.0,25.0,1776091888.6658413,1776091888.9290512,1776091892.0120623,1776091891.9107316,1776091920.0908432,1776091895.0310876,1776091920.0310876,completed
exp_13_16_49,6,split,stem,resnet18_tail_after_stem,0.0,25.0,1776091920.0913424,1776091921.2886326,,,1776091951.5391407,1776091926.5391407,1776091951.5391407,completed
exp_13_16_49,7,split,stem,resnet18_tail_after_stem,100.0,25.0,1776091951.575088,1776091951.5993016,1776091954.7728581,1776091954.9738665,1776091982.972397,1776091957.8421123,1776091982.8421123,completed
exp_13_16_49,8,split,stem,resnet18_tail_after_stem,120.0,25.0,1776091982.9734404,1776091982.9980135,1776091986.1218545,1776091986.0047512,1776092014.342969,1776091989.2497878,1776092014.2497878,completed
exp_13_16_49,9,split,stem,resnet18_tail_after_stem,150.0,25.0,1776092014.343543,1776092014.3148468,1776092017.4162269,1776092018.035681,1776092045.6313217,1776092020.4589412,1776092045.4589412,completed
exp_13_16_49,10,split,stem,resnet18_tail_after_stem,155.0,25.0,1776092045.6319244,1776092045.5988283,1776092048.7134159,1776092049.0652533,1776092076.9519677,1776092051.7719722,1776092076.7719722,completed
exp_13_16_49,11,split,layer1.0,resnet18_tail_after_layer1_0,0.0,25.0,1776092076.9534805,1776092078.1586356,,,1776092108.4146307,1776092083.4146307,1776092108.4146307,completed
exp_13_16_49,12,split,layer1.0,resnet18_tail_after_layer1_0,100.0,25.0,1776092108.4762044,1776092108.6024141,1776092111.6376479,1776092112.1266172,1776092139.7966945,1776092114.7128274,1776092139.7128274,completed
exp_13_16_49,13,split,layer1.0,resnet18_tail_after_layer1_0,120.0,25.0,1776092139.7973642,1776092139.8741224,1776092142.989921,1776092143.1577983,1776092171.2507713,1776092146.0745273,1776092171.0745273,completed
exp_13_16_49,14,split,layer1.0,resnet18_tail_after_layer1_0,150.0,25.0,1776092171.251443,1776092171.2498274,1776092174.4084146,1776092175.1888614,1776092202.6464758,1776092177.4606621,1776092202.4606621,completed
exp_13_16_49,15,split,layer1.0,resnet18_tail_after_layer1_0,155.0,25.0,1776092202.647984,1776092202.7343304,1776092205.8940392,1776092206.2197168,1776092234.0053763,1776092208.9127653,1776092233.9127653,completed
exp_13_16_49,16,split,layer1.1,resnet18_tail_after_layer1_1,0.0,25.0,1776092234.006099,1776092235.4132814,,,1776092265.5286424,1776092240.5286424,1776092265.5286424,completed
exp_13_16_49,17,split,layer1.1,resnet18_tail_after_layer1_1,100.0,25.0,1776092265.5749326,1776092265.7164795,1776092268.7670193,1776092269.2848,1776092296.9233603,1776092271.8273351,1776092296.8273351,completed
exp_13_16_49,18,split,layer1.1,resnet18_tail_after_layer1_1,120.0,25.0,1776092296.923974,1776092296.9140344,1776092300.0819395,1776092300.3156817,1776092328.3127255,1776092303.1433575,1776092328.1433575,completed
exp_13_16_49,19,split,layer1.1,resnet18_tail_after_layer1_1,150.0,25.0,1776092328.3134797,1776092328.3648953,1776092331.4678469,1776092332.3458776,1776092359.7679255,1776092334.5666392,1776092359.5666392,completed
exp_13_16_49,20,split,layer1.1,resnet18_tail_after_layer1_1,155.0,25.0,1776092359.7687032,1776092359.7219377,1776092362.8704677,1776092363.3761244,1776092391.0944395,1776092365.9059622,1776092390.9059622,completed
exp_13_16_49,21,split,layer2.0,resnet18_tail_after_layer2_0,0.0,25.0,1776092391.0954218,1776092392.3861682,,,1776092422.5403569,1776092397.5403569,1776092422.5403569,completed
exp_13_16_49,22,split,layer2.0,resnet18_tail_after_layer2_0,100.0,25.0,1776092422.5574582,1776092422.551735,1776092425.6230226,1776092426.4374342,1776092453.7823896,1776092428.7060208,1776092453.7060208,completed
exp_13_16_49,23,split,layer2.0,resnet18_tail_after_layer2_0,120.0,25.0,1776092453.7835033,1776092453.7842414,1776092456.885446,1776092457.466608,1776092485.016508,1776092459.9100091,1776092484.9100091,completed
exp_13_16_49,24,split,layer2.0,resnet18_tail_after_layer2_0,150.0,25.0,1776092485.0172338,1776092485.0702043,1776092488.109789,1776092488.4967473,1776092516.2427707,1776092491.1567829,1776092516.1567829,completed
exp_13_16_49,25,split,layer2.0,resnet18_tail_after_layer2_0,155.0,25.0,1776092516.2437196,1776092516.2945743,1776092519.4115043,1776092519.5266085,1776092547.5750268,1776092522.4838738,1776092547.4838738,completed
exp_13_16_49,26,split,layer2.1,resnet18_tail_after_layer2_1,0.0,25.0,1776092547.575798,1776092548.7804146,,,1776092579.0029004,1776092554.0029004,1776092579.0029004,completed
exp_13_16_49,27,split,layer2.1,resnet18_tail_after_layer2_1,100.0,25.0,1776092579.1288373,1776092579.235411,1776092582.4287727,1776092582.5888107,1776092610.6002796,1776092585.5471103,1776092610.5471103,completed
exp_13_16_49,28,split,layer2.1,resnet18_tail_after_layer2_1,120.0,25.0,1776092610.600967,1776092610.7077713,1776092613.8170574,1776092614.6219738,1776092641.9830978,1776092616.934992,1776092641.934992,completed
