experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_tuesday,1,full_server,,resnet18_full,0.0,25.0,1776159798.5222023,1776159798.6719341,,,1776159828.8891003,1776159803.8891003,1776159828.8891003,completed
exp_tuesday,2,full_server,,resnet18_full,100.0,25.0,1776159828.924357,1776159829.0236201,1776159832.1731434,1776159832.8549182,1776159860.3794327,1776159835.1921318,1776159860.1921318,completed
exp_tuesday,3,full_server,,resnet18_full,120.0,25.0,1776159870.3889658,1776159870.4023159,1776159873.6186776,1776159873.895714,1776159901.7302277,1776159876.6547809,1776159901.6547809,completed
exp_tuesday,4,full_server,,resnet18_full,150.0,25.0,1776159911.7489183,1776159911.849898,1776159914.9713356,1776159914.935418,1776159943.1137154,1776159918.0625763,1776159943.0625763,completed
exp_tuesday,5,full_server,,resnet18_full,155.0,25.0,1776159953.2047002,1776159953.3045967,1776159956.4601474,1776159956.975913,1776159984.655214,1776159959.4752712,1776159984.4752712,completed
exp_tuesday,6,split,stem,resnet18_tail_after_stem,0.0,25.0,1776159994.7095206,1776159995.917112,,,1776160026.077422,1776160001.077422,1776160026.077422,completed
exp_tuesday,7,split,stem,resnet18_tail_after_stem,100.0,25.0,1776160026.0972798,1776160026.2223878,1776160029.3182118,1776160030.0458584,1776160057.5089858,1776160032.429216,1776160057.429216,completed
exp_tuesday,8,split,stem,resnet18_tail_after_stem,120.0,25.0,1776160067.6153386,1776160067.731455,1776160070.838546,1776160071.0848668,1776160099.080541,1776160073.9058092,1776160098.9058092,completed
exp_tuesday,9,split,stem,resnet18_tail_after_stem,150.0,25.0,1776160109.1267822,1776160109.1514502,1776160112.3259885,1776160113.1247888,1776160140.5803578,1776160115.3773215,1776160140.3773215,completed
exp_tuesday,10,split,stem,resnet18_tail_after_stem,155.0,25.0,1776160150.647603,1776160150.7943819,1776160153.9353788,1776160154.1658762,1776160182.1610055,1776160157.0482295,1776160182.0482295,completed
exp_tuesday,11,split,layer1.0,resnet18_tail_after_layer1_0,0.0,25.0,1776160192.2945051,1776160193.4746726,,,1776160223.6022332,1776160198.6022332,1776160223.6022332,completed
exp_tuesday,12,split,layer1.0,resnet18_tail_after_layer1_0,100.0,25.0,1776160223.7015288,1776160223.7813072,1776160226.976695,1776160227.2379158,1776160255.2118526,1776160230.0616908,1776160255.0616908,completed
exp_tuesday,13,split,layer1.0,resnet18_tail_after_layer1_0,120.0,25.0,1776160265.2737086,1776160265.3634048,1776160268.502747,1776160269.2797022,1776160296.7421494,1776160271.6124434,1776160296.6124434,completed
exp_tuesday,14,split,layer1.0,resnet18_tail_after_layer1_0,150.0,25.0,1776160306.823525,1776160306.9094405,1776160310.1088052,1776160310.3195453,1776160338.296764,1776160313.2029827,1776160338.2029827,completed
exp_tuesday,15,split,layer1.0,resnet18_tail_after_layer1_0,155.0,25.0,1776160348.425751,1776160348.5576088,1776160351.6484528,1776160352.3596897,1776160379.8927999,1776160354.702099,1776160379.702099,completed
exp_tuesday,16,split,layer1.1,resnet18_tail_after_layer1_1,0.0,25.0,1776160390.020983,1776160391.248553,,,1776160421.51207,1776160396.51207,1776160421.51207,completed
