source_file,instance_group,concurrency,client_request_count,throughput_inf_s,client_avg_latency_us,client_latency_std_us,client_p50_latency_us,client_p90_latency_us,client_p95_latency_us,client_p99_latency_us,avg_grpc_time_us,grpc_marshal_us,grpc_response_wait_us,server_inference_count,server_execution_count,server_successful_request_count,server_avg_request_latency_us,server_overhead_us,server_queue_us,server_compute_input_us,server_compute_infer_us,server_compute_output_us,client_avg_latency_ms,client_latency_std_ms,client_p50_latency_ms,client_p90_latency_ms,client_p95_latency_ms,client_p99_latency_ms,avg_grpc_time_ms,grpc_marshal_ms,grpc_response_wait_ms,server_avg_request_latency_ms,server_overhead_ms,server_queue_ms,server_compute_input_ms,server_compute_infer_ms,server_compute_output_ms,queue_ratio,throughput_per_instance,client_server_latency_gap_ms
throughput.txt,1,1,375,50.8703,19363,2431,18171,22882,25162,27494,19351,41,19310,375,375,375,12408,235,56,263,11825,28,19.363,2.431,18.171,22.882,25.162,27.494,19.351,0.041,19.31,12.408,0.235,0.056,0.263,11.825,0.028,0.004513217279174727,50.8703,6.955
throughput.txt,1,3,571,78.0689,37961,1963,38628,39271,39573,39923,37940,49,37891,571,571,571,29524,210,16766,168,12349,29,37.961,1.963,38.628,39.271,39.573,39.923,37.94,0.049,37.891,29.524,0.21,16.766,0.168,12.349,0.029,0.5678769814388294,78.0689,8.436999999999998
throughput.txt,1,5,570,77.871,63621,2963,62828,66669,66847,68167,63606,52,63554,570,570,570,55541,210,42758,173,12371,29,63.621,2.963,62.828,66.669,66.847,68.167,63.606,0.052,63.554,55.541,0.21,42.758,0.173,12.371,0.029,0.7698456995732883,77.871,8.080000000000005
throughput.txt,1,7,566,77.6259,89497,3855,89371,92099,94472,104250,89478,54,89424,566,566,566,81483,214,68660,170,12411,27,89.497,3.855,89.371,92.099,94.472,104.25,89.478,0.054,89.424,81.483,0.214,68.66,0.17,12.411,0.027,0.8426297509910041,77.6259,8.013999999999996
throughput.txt,1,9,564,77.3677,115576,4419,116682,118383,120344,125610,115594,67,115527,563,563,563,107200,216,94313,181,12462,27,115.576,4.419,116.682,118.383,120.344,125.61,115.594,0.067,115.527,107.2,0.216,94.313,0.181,12.462,0.027,0.879785447761194,77.3677,8.37599999999999
throughput.txt,1,11,567,77.6452,140655,3766,140055,144701,145015,146432,140629,68,140561,568,568,568,132416,215,119598,173,12401,28,140.655,3.766,140.055,144.701,145.015,146.432,140.629,0.068,140.561,132.416,0.215,119.598,0.173,12.401,0.028,0.9031990091831803,77.6452,8.239000000000004
throughput.txt,1,13,567,77.4066,166876,18658,167266,170137,172969,196470,166847,87,166760,567,567,567,156561,212,143679,172,12468,29,166.876,18.658,167.266,170.137,172.969,196.47,166.847,0.087,166.76,156.561,0.212,143.679,0.172,12.468,0.029,0.9177189721578171,77.4066,10.314999999999998
throughput.txt,1,15,569,77.7074,192046,6488,191265,195644,196638,210066,192019,86,191933,569,569,569,183782,207,170954,170,12422,28,192.046,6.488,191.265,195.644,196.638,210.066,192.019,0.086,191.933,183.782,0.207,170.954,0.17,12.422,0.028,0.9301999107638398,77.7074,8.263999999999982
throughput.txt,1,17,569,77.6175,217951,6246,217670,223335,230021,236436,217961,80,217881,568,568,568,209884,211,197038,174,12432,28,217.951,6.246,217.67,223.335,230.021,236.436,217.961,0.08,217.881,209.884,0.211,197.038,0.174,12.432,0.028,0.9387947628213681,77.6175,8.067000000000007
throughput.txt,1,19,565,77.0424,245418,10231,245397,250530,253033,282129,245391,76,245315,565,565,565,237206,211,224270,175,12514,35,245.418,10.231,245.397,250.53,253.033,282.129,245.391,0.076,245.315,237.206,0.211,224.27,0.175,12.514,0.035,0.9454651231419104,77.0424,8.212000000000018
throughput.txt,1,21,567,77.6353,269077,6221,269055,274915,275845,278198,269052,76,268976,567,567,567,260934,214,248108,174,12407,29,269.077,6.221,269.055,274.915,275.845,278.198,269.052,0.076,268.976,260.934,0.214,248.108,0.174,12.407,0.029,0.9508458077521518,77.6353,8.142999999999972
throughput.txt,1,23,567,77.3787,295546,9948,296208,301025,303092,319724,295520,78,295442,567,567,567,287292,212,274428,172,12450,30,295.546,9.948,296.208,301.025,303.092,319.724,295.52,0.078,295.442,287.292,0.212,274.428,0.172,12.45,0.03,0.9552232571738859,77.3787,8.254000000000019
throughput.txt,1,25,564,77.1117,322607,10019,323177,329125,333607,362666,322579,80,322499,564,564,564,314438,211,301520,170,12508,28,322.607,10.019,323.177,329.125,333.607,362.666,322.579,0.08,322.499,314.438,0.211,301.52,0.17,12.508,0.028,0.9589171792213409,77.1117,8.16900000000004
throughput.txt,3,1,377,51.2349,19116,1825,18326,21438,23483,26375,19104,40,19064,377,377,377,12534,240,57,276,11932,28,19.116,1.825,18.326,21.438,23.483,26.375,19.104,0.04,19.064,12.534,0.24,0.057,0.276,11.932,0.028,0.004547630445189086,17.078300000000002,6.581999999999999
throughput.txt,3,3,587,80.432,36759,6730,36530,45011,47772,53636,36726,56,36670,588,588,588,26658,271,103,737,25509,37,36.759,6.73,36.53,45.011,47.772,53.636,36.726,0.056,36.67,26.658,0.271,0.103,0.737,25.509,0.037,0.0038637557206091977,26.810666666666666,10.100999999999999
throughput.txt,3,5,561,77.038,64130,10338,64455,76374,82128,93374,64150,83,64067,560,560,560,54039,281,15328,285,38109,34,64.13,10.338,64.455,76.374,82.128,93.374,64.15,0.083,64.067,54.039,0.281,15.328,0.285,38.109,0.034,0.28364699568829915,25.679333333333332,10.090999999999994
throughput.txt,3,7,555,76.3621,90665,11302,89907,105533,109517,119446,90632,100,90532,555,555,555,80715,260,41550,275,38589,39,90.665,11.302,89.907,105.533,109.517,119.446,90.632,0.1,90.532,80.715,0.26,41.55,0.275,38.589,0.039,0.514774205538004,25.45403333333333,9.950000000000003
throughput.txt,3,9,558,76.4743,116591,19949,116749,128180,133421,152645,115630,114,115516,566,566,566,103233,265,64170,289,38473,35,116.591,19.949,116.749,128.18,133.421,152.645,115.63,0.114,115.516,103.233,0.265,64.17,0.289,38.473,0.035,0.6216035570021214,25.491433333333333,13.35799999999999
