source_file,instance_group,concurrency,client_request_count,throughput_inf_s,client_avg_latency_ms,client_latency_std_ms,client_p50_latency_ms,client_p90_latency_ms,client_p95_latency_ms,client_p99_latency_ms,avg_grpc_time_ms,grpc_marshal_ms,grpc_response_wait_ms,server_inference_count,server_execution_count,server_successful_request_count,server_avg_request_latency_ms,server_overhead_ms,server_queue_ms,server_compute_input_ms,server_compute_infer_ms,server_compute_output_ms
throughput.txt,1,1,375,50.8703,19.363,2.431,18.171,22.882,25.162,27.494,19.351,0.041,19.31,375,375,375,12.408,0.235,0.056,0.263,11.825,0.028
throughput.txt,1,3,571,78.0689,37.961,1.963,38.628,39.271,39.573,39.923,37.94,0.049,37.891,571,571,571,29.524,0.21,16.766,0.168,12.349,0.029
throughput.txt,1,5,570,77.871,63.621,2.963,62.828,66.669,66.847,68.167,63.606,0.052,63.554,570,570,570,55.541,0.21,42.758,0.173,12.371,0.029
throughput.txt,1,7,566,77.6259,89.497,3.855,89.371,92.099,94.472,104.25,89.478,0.054,89.424,566,566,566,81.483,0.214,68.66,0.17,12.411,0.027
throughput.txt,1,9,564,77.3677,115.576,4.419,116.682,118.383,120.344,125.61,115.594,0.067,115.527,563,563,563,107.2,0.216,94.313,0.181,12.462,0.027
throughput.txt,1,11,567,77.6452,140.655,3.766,140.055,144.701,145.015,146.432,140.629,0.068,140.561,568,568,568,132.416,0.215,119.598,0.173,12.401,0.028
throughput.txt,1,13,567,77.4066,166.876,18.658,167.266,170.137,172.969,196.47,166.847,0.087,166.76,567,567,567,156.561,0.212,143.679,0.172,12.468,0.029
throughput.txt,1,15,569,77.7074,192.046,6.488,191.265,195.644,196.638,210.066,192.019,0.086,191.933,569,569,569,183.782,0.207,170.954,0.17,12.422,0.028
throughput.txt,1,17,569,77.6175,217.951,6.246,217.67,223.335,230.021,236.436,217.961,0.08,217.881,568,568,568,209.884,0.211,197.038,0.174,12.432,0.028
throughput.txt,1,19,565,77.0424,245.418,10.231,245.397,250.53,253.033,282.129,245.391,0.076,245.315,565,565,565,237.206,0.211,224.27,0.175,12.514,0.035
throughput.txt,1,21,567,77.6353,269.077,6.221,269.055,274.915,275.845,278.198,269.052,0.076,268.976,567,567,567,260.934,0.214,248.108,0.174,12.407,0.029
throughput.txt,1,23,567,77.3787,295.546,9.948,296.208,301.025,303.092,319.724,295.52,0.078,295.442,567,567,567,287.292,0.212,274.428,0.172,12.45,0.03
throughput.txt,1,25,564,77.1117,322.607,10.019,323.177,329.125,333.607,362.666,322.579,0.08,322.499,564,564,564,314.438,0.211,301.52,0.17,12.508,0.028
throughput.txt,3,1,377,51.2349,19.116,1.825,18.326,21.438,23.483,26.375,19.104,0.04,19.064,377,377,377,12.534,0.24,0.057,0.276,11.932,0.028
throughput.txt,3,3,587,80.432,36.759,6.73,36.53,45.011,47.772,53.636,36.726,0.056,36.67,588,588,588,26.658,0.271,0.103,0.737,25.509,0.037
throughput.txt,3,5,561,77.038,64.13,10.338,64.455,76.374,82.128,93.374,64.15,0.083,64.067,560,560,560,54.039,0.281,15.328,0.285,38.109,0.034
throughput.txt,3,7,555,76.3621,90.665,11.302,89.907,105.533,109.517,119.446,90.632,0.1,90.532,555,555,555,80.715,0.26,41.55,0.275,38.589,0.039
throughput.txt,3,9,558,76.4743,116.591,19.949,116.749,128.18,133.421,152.645,115.63,0.114,115.516,566,566,566,103.233,0.265,64.17,0.289,38.473,0.035
throughput.txt,3,11,554,76.1938,143.921,37.643,142.151,160.876,169.203,300.037,143.887,0.102,143.785,554,554,554,127.387,0.263,88.063,0.286,38.74,0.034
